[BeGaze]
Converted from:	D:\Kirillov\Results\fatcat\P04-eye_data.idf
Date:	29.05.2019 04:55:18
Version:	BeGaze 3.0.181
Sample Rate:	250
Subject:	P04
Description:	Run4

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg. Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for User Events:
Event Type	Trial	Number	Start	Description

Saccade L	1	147	3780348223	3780400190	51967	775.93	616.29	792.91	564.45	4.60	272.67	0.31	88.59	19570.16	-9122.87	6262.55
Saccade L	1	148	3780484202	3780596200	111998	1218.61	475.24	529.60	576.55	30.05	723.22	0.79	268.32	17188.57	-27248.99	8674.80
Saccade L	1	149	3780596200	3780632225	36025	529.60	576.55	579.70	465.00	2.86	214.33	0.33	79.29	2121.56	-6989.47	3023.70
Saccade L	1	150	3780632225	3780676203	43978	579.70	465.00	607.29	410.55	2.20	97.32	0.45	49.97	3151.05	-2890.39	1611.44
Saccade L	1	151	3780756216	3780832110	75894	591.19	417.68	506.37	458.03	6.32	177.20	0.53	83.26	5375.12	-5184.00	2392.87
Saccade L	1	152	3780832110	3780860192	28082	506.37	458.03	469.91	494.28	1.14	75.58	0.43	40.47	3052.62	-1185.74	1623.41
Saccade L	1	153	3780860192	3780912238	52046	469.91	494.28	579.40	445.97	6.51	340.64	0.62	125.14	9036.18	-14018.50	6539.80
Saccade L	1	154	3780912238	3781108090	195852	579.40	445.97	1154.40	474.94	49.60	575.43	0.67	253.26	19547.85	-16104.40	6724.24
Saccade L	1	155	3781108090	3781368073	259983	1154.40	474.94	852.93	632.37	63.93	739.92	0.68	245.89	23913.22	-20104.66	7873.43
Saccade L	1	156	3781368073	3781456090	88017	852.93	632.37	1158.65	479.74	16.19	525.65	0.32	183.99	13987.91	-14265.69	4141.58
Saccade L	1	157	3781456090	3781504097	48007	1158.65	479.74	1174.73	489.99	13.20	808.68	0.67	275.04	26492.78	-26204.65	12005.40
Saccade L	1	158	3781520081	3781540093	20012	1170.94	491.35	1176.44	496.71	3.60	531.66	0.40	179.83	-412.62	-20931.85	7316.01
Saccade L	1	159	3781568082	3781604092	36010	1184.70	499.12	846.14	724.18	8.71	533.26	0.33	241.92	21532.42	-19320.63	14271.49
Saccade L	1	160	3781620086	3781724087	104001	833.33	727.46	890.43	608.47	24.00	692.91	0.27	230.80	29420.89	-18891.60	8445.20
Fixation L	1	11	3781988118	3782040086	51968	1215.68	462.55	15	10	-1	8.46	8.46
Saccade L	1	161	3782040086	3782064089	24003	1208.27	456.99	864.63	612.45	5.06	488.26	0.50	210.82	19441.15	-16745.85	12288.58
Saccade L	1	162	3782064089	3782088090	24001	864.63	612.45	865.94	629.54	3.42	486.97	0.67	142.65	12367.18	-16745.85	7198.70
Saccade L	1	163	3782088090	3782140095	52005	865.94	629.54	1204.37	434.96	15.08	506.62	0.31	289.95	16611.53	-8102.96	6531.53
Fixation L	1	12	3782220105	3782328011	107906	815.24	428.97	32	49	-1	9.56	9.56
Saccade L	1	164	3782379977	3782399985	20008	811.12	426.77	810.87	474.43	0.59	57.06	0.40	29.33	1602.73	-800.18	669.92
Saccade L	1	165	3782431993	3782472025	40032	820.29	430.00	763.15	444.65	2.37	158.60	0.50	59.09	7093.93	-5740.53	3562.90
Saccade L	1	166	3782479979	3782547963	67984	730.40	455.73	780.46	426.35	3.91	119.22	0.41	57.50	4582.14	-4034.64	2285.81
Fixation L	1	13	3782691980	3782799983	108003	356.73	156.81	1616	811	-1	6.87	6.87
Saccade L	1	167	3783051984	3783151987	100003	953.26	590.33	910.73	609.04	6.08	141.43	0.40	60.77	5429.06	-4379.44	1852.72
Saccade L	1	168	3783159991	3783211971	51980	905.50	608.57	927.22	586.60	1.63	57.70	0.61	31.40	1669.38	-2040.70	1108.59
