Subject	Source	Question	Answer		
Nastya 06	6	Выберите правильный вариант ответа	1) 65  20  15  10
Nastya 06	5	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 06	4	Выберите правильный вариант ответа	2) 70  15  10  5
Nastya 06	11	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 06	9	Выберите правильный вариант ответа	2) 70  15  10  5
Nastya 06	7	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 06	8	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 06	10	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 06	15	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 06	13	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 06	12	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 06	14	Выберите правильный вариант ответа	1) 65  20  15  10
Nastya 06	16	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 07	3	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 07	2	Выберите правильный ответ	1) 65  20  10  5
Nastya 07	4	Выберите правильный вариант ответа	2) 70  15  10  5
Nastya 07	5	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 07	6	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 07	10	Выберите правильный вариант ответа	2) 80  10  5  5
Nastya 07	7	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 07	9	Выберите правильный вариант ответа	1) 65  20  15  10
Nastya 07	11	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 07	8	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 07	13	Выберите правильный вариант ответа	3) 75  10  10  5
Nastya 07	16	Выберите правильный вариант ответа	3) 60  20  15  5
Nastya 07	12	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 07	14	Выберите правильный вариант ответа	1) 65  20  15  10
Nastya 07	15	Выберите правильный вариант ответа	2) 80  10  5  5
Natalia	2	Выберите правильный ответ	1) 65  20  10  5
